Body_Main;OCS Red
Front_Body;OCS Red
Blackout;Plastic Black
Carbon_BottomParts;Carbon 2x
CarbonMirror;Carbon 2x
Carbon254_TopParts;Carbon 2x
Chrome_Door;Chrome
Frontlight_ClearGlas;Glass white 5mm
Frontlight_Emitter;Headlight white
Greenhouse_ClearGlas;Glass white 5mm
Greenhouse_BlackGloss;Plastic black
Rearlight_ClearGlas;Glass white 5mm
Rearlight_Emitter;Rearlight red
Plastic_Black;Plastic black
Plastic_Black_Wiper;Plastic black
Rubber;Tire
Steel_Background;Steel
Steele_Disc;Steel